author,cluster,eps,pca_dims,silhouette,calinski_harabasz,davies_bouldin
"Sánchez Navarro, Macarena",0,0.3,5,0.7080774453604716,56.45804121745429,0.34735212590458664
"López López, Manuel Carlos",1,0.3,5,0.7080774453604716,56.45804121745429,0.34735212590458664
"Thomas, María del Carmen",1,0.3,5,0.7080774453604716,56.45804121745429,0.34735212590458664
"González Rey, Elena",2,0.3,5,0.7080774453604716,56.45804121745429,0.34735212590458664
"Delgado Mora, Mario",2,0.3,5,0.7080774453604716,56.45804121745429,0.34735212590458664
"Pérez Victoria, José María",0,0.3,5,0.7080774453604716,56.45804121745429,0.34735212590458664
"Morales Sánchez, Juan Carlos",0,0.3,5,0.7080774453604716,56.45804121745429,0.34735212590458664
"Martín Ibáñez, Javier",3,0.3,5,0.7080774453604716,56.45804121745429,0.34735212590458664
"Hernández López de Munaín, Cristina",4,0.3,5,0.7080774453604716,56.45804121745429,0.34735212590458664
"Suñé, Carlos",4,0.3,5,0.7080774453604716,56.45804121745429,0.34735212590458664
"Castanys, Santiago",0,0.3,5,0.7080774453604716,56.45804121745429,0.34735212590458664
"Matesanz del Barrio, Fuencisla",5,0.3,5,0.7080774453604716,56.45804121745429,0.34735212590458664
"Alcina, Antonio",5,0.3,5,0.7080774453604716,56.45804121745429,0.34735212590458664
"González Pacanowska, Dolores",6,0.3,5,0.7080774453604716,56.45804121745429,0.34735212590458664
"Ruiz Pérez, Luis Miguel",6,0.3,5,0.7080774453604716,56.45804121745429,0.34735212590458664
"Navarro Carretero, Miguel",6,0.3,5,0.7080774453604716,56.45804121745429,0.34735212590458664
"Estévez García, Antonio Manuel",6,0.3,5,0.7080774453604716,56.45804121745429,0.34735212590458664
"Acosta Herrera, Marialbert",3,0.3,5,0.7080774453604716,56.45804121745429,0.34735212590458664
"Vidal Romero, Antonio",6,0.3,5,0.7080774453604716,56.45804121745429,0.34735212590458664
"López Giménez, Juan F.",0,0.3,5,0.7080774453604716,56.45804121745429,0.34735212590458664
"Oliver Pozo, Francisco Javier",0,0.3,5,0.7080774453604716,56.45804121745429,0.34735212590458664
"Gómez Díaz, Elena",0,0.3,5,0.7080774453604716,56.45804121745429,0.34735212590458664
"Zubiaur, Mercedes",7,0.3,5,0.7080774453604716,56.45804121745429,0.34735212590458664
"Sánchez Luque, Francisco José",0,0.3,5,0.7080774453604716,56.45804121745429,0.34735212590458664
"Sancho López, Jaime",7,0.3,5,0.7080774453604716,56.45804121745429,0.34735212590458664
"Berzal Herranz, Alfredo",0,0.3,5,0.7080774453604716,56.45804121745429,0.34735212590458664
"Gómez Castilla, Jordi",0,0.3,5,0.7080774453604716,56.45804121745429,0.34735212590458664
"Ortiz Fernández, Lourdes",3,0.3,5,0.7080774453604716,56.45804121745429,0.34735212590458664
"Márquez Ortiz, Ana María",3,0.3,5,0.7080774453604716,56.45804121745429,0.34735212590458664
"Sánchez Navarro, Macarena",0,0.5,5,0.4526030226980169,6.909229795811986,0.5136397737136198
"López López, Manuel Carlos",0,0.5,5,0.4526030226980169,6.909229795811986,0.5136397737136198
"Thomas, María del Carmen",0,0.5,5,0.4526030226980169,6.909229795811986,0.5136397737136198
"González Rey, Elena",1,0.5,5,0.4526030226980169,6.909229795811986,0.5136397737136198
"Delgado Mora, Mario",1,0.5,5,0.4526030226980169,6.909229795811986,0.5136397737136198
"Pérez Victoria, José María",0,0.5,5,0.4526030226980169,6.909229795811986,0.5136397737136198
"Morales Sánchez, Juan Carlos",0,0.5,5,0.4526030226980169,6.909229795811986,0.5136397737136198
"Martín Ibáñez, Javier",0,0.5,5,0.4526030226980169,6.909229795811986,0.5136397737136198
"Hernández López de Munaín, Cristina",2,0.5,5,0.4526030226980169,6.909229795811986,0.5136397737136198
"Suñé, Carlos",2,0.5,5,0.4526030226980169,6.909229795811986,0.5136397737136198
"Castanys, Santiago",0,0.5,5,0.4526030226980169,6.909229795811986,0.5136397737136198
"Matesanz del Barrio, Fuencisla",0,0.5,5,0.4526030226980169,6.909229795811986,0.5136397737136198
"Alcina, Antonio",0,0.5,5,0.4526030226980169,6.909229795811986,0.5136397737136198
"González Pacanowska, Dolores",0,0.5,5,0.4526030226980169,6.909229795811986,0.5136397737136198
"Ruiz Pérez, Luis Miguel",0,0.5,5,0.4526030226980169,6.909229795811986,0.5136397737136198
"Navarro Carretero, Miguel",0,0.5,5,0.4526030226980169,6.909229795811986,0.5136397737136198
"Estévez García, Antonio Manuel",0,0.5,5,0.4526030226980169,6.909229795811986,0.5136397737136198
"Acosta Herrera, Marialbert",0,0.5,5,0.4526030226980169,6.909229795811986,0.5136397737136198
"Vidal Romero, Antonio",0,0.5,5,0.4526030226980169,6.909229795811986,0.5136397737136198
"López Giménez, Juan F.",0,0.5,5,0.4526030226980169,6.909229795811986,0.5136397737136198
"Oliver Pozo, Francisco Javier",0,0.5,5,0.4526030226980169,6.909229795811986,0.5136397737136198
"Gómez Díaz, Elena",0,0.5,5,0.4526030226980169,6.909229795811986,0.5136397737136198
"Zubiaur, Mercedes",3,0.5,5,0.4526030226980169,6.909229795811986,0.5136397737136198
"Sánchez Luque, Francisco José",0,0.5,5,0.4526030226980169,6.909229795811986,0.5136397737136198
"Sancho López, Jaime",3,0.5,5,0.4526030226980169,6.909229795811986,0.5136397737136198
"Berzal Herranz, Alfredo",0,0.5,5,0.4526030226980169,6.909229795811986,0.5136397737136198
"Gómez Castilla, Jordi",0,0.5,5,0.4526030226980169,6.909229795811986,0.5136397737136198
"Ortiz Fernández, Lourdes",0,0.5,5,0.4526030226980169,6.909229795811986,0.5136397737136198
"Márquez Ortiz, Ana María",0,0.5,5,0.4526030226980169,6.909229795811986,0.5136397737136198
"Sánchez Navarro, Macarena",0,0.7,5,0.43712858563438944,6.255784992406268,0.5131214219826149
"López López, Manuel Carlos",0,0.7,5,0.43712858563438944,6.255784992406268,0.5131214219826149
"Thomas, María del Carmen",0,0.7,5,0.43712858563438944,6.255784992406268,0.5131214219826149
"González Rey, Elena",1,0.7,5,0.43712858563438944,6.255784992406268,0.5131214219826149
"Delgado Mora, Mario",1,0.7,5,0.43712858563438944,6.255784992406268,0.5131214219826149
"Pérez Victoria, José María",0,0.7,5,0.43712858563438944,6.255784992406268,0.5131214219826149
"Morales Sánchez, Juan Carlos",0,0.7,5,0.43712858563438944,6.255784992406268,0.5131214219826149
"Martín Ibáñez, Javier",0,0.7,5,0.43712858563438944,6.255784992406268,0.5131214219826149
"Hernández López de Munaín, Cristina",0,0.7,5,0.43712858563438944,6.255784992406268,0.5131214219826149
"Suñé, Carlos",0,0.7,5,0.43712858563438944,6.255784992406268,0.5131214219826149
"Castanys, Santiago",0,0.7,5,0.43712858563438944,6.255784992406268,0.5131214219826149
"Matesanz del Barrio, Fuencisla",0,0.7,5,0.43712858563438944,6.255784992406268,0.5131214219826149
"Alcina, Antonio",0,0.7,5,0.43712858563438944,6.255784992406268,0.5131214219826149
"González Pacanowska, Dolores",0,0.7,5,0.43712858563438944,6.255784992406268,0.5131214219826149
"Ruiz Pérez, Luis Miguel",0,0.7,5,0.43712858563438944,6.255784992406268,0.5131214219826149
"Navarro Carretero, Miguel",0,0.7,5,0.43712858563438944,6.255784992406268,0.5131214219826149
"Estévez García, Antonio Manuel",0,0.7,5,0.43712858563438944,6.255784992406268,0.5131214219826149
"Acosta Herrera, Marialbert",0,0.7,5,0.43712858563438944,6.255784992406268,0.5131214219826149
"Vidal Romero, Antonio",0,0.7,5,0.43712858563438944,6.255784992406268,0.5131214219826149
"López Giménez, Juan F.",0,0.7,5,0.43712858563438944,6.255784992406268,0.5131214219826149
"Oliver Pozo, Francisco Javier",0,0.7,5,0.43712858563438944,6.255784992406268,0.5131214219826149
"Gómez Díaz, Elena",0,0.7,5,0.43712858563438944,6.255784992406268,0.5131214219826149
"Zubiaur, Mercedes",2,0.7,5,0.43712858563438944,6.255784992406268,0.5131214219826149
"Sánchez Luque, Francisco José",0,0.7,5,0.43712858563438944,6.255784992406268,0.5131214219826149
"Sancho López, Jaime",2,0.7,5,0.43712858563438944,6.255784992406268,0.5131214219826149
"Berzal Herranz, Alfredo",0,0.7,5,0.43712858563438944,6.255784992406268,0.5131214219826149
"Gómez Castilla, Jordi",0,0.7,5,0.43712858563438944,6.255784992406268,0.5131214219826149
"Ortiz Fernández, Lourdes",0,0.7,5,0.43712858563438944,6.255784992406268,0.5131214219826149
"Márquez Ortiz, Ana María",0,0.7,5,0.43712858563438944,6.255784992406268,0.5131214219826149
"Sánchez Navarro, Macarena",0,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"López López, Manuel Carlos",0,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Thomas, María del Carmen",0,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"González Rey, Elena",1,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Delgado Mora, Mario",1,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Pérez Victoria, José María",0,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Morales Sánchez, Juan Carlos",0,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Martín Ibáñez, Javier",0,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Hernández López de Munaín, Cristina",2,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Suñé, Carlos",2,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Castanys, Santiago",0,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Matesanz del Barrio, Fuencisla",3,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Alcina, Antonio",3,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"González Pacanowska, Dolores",0,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Ruiz Pérez, Luis Miguel",0,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Navarro Carretero, Miguel",0,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Estévez García, Antonio Manuel",0,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Acosta Herrera, Marialbert",0,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Vidal Romero, Antonio",0,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"López Giménez, Juan F.",0,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Oliver Pozo, Francisco Javier",0,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Gómez Díaz, Elena",0,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Zubiaur, Mercedes",4,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Sánchez Luque, Francisco José",0,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Sancho López, Jaime",4,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Berzal Herranz, Alfredo",0,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Gómez Castilla, Jordi",0,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Ortiz Fernández, Lourdes",0,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Márquez Ortiz, Ana María",0,0.9,10,0.411901099526193,4.608944135781228,0.6761933205432641
"Sánchez Navarro, Macarena",-1,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"López López, Manuel Carlos",0,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Thomas, María del Carmen",0,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"González Rey, Elena",1,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Delgado Mora, Mario",1,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Pérez Victoria, José María",0,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Morales Sánchez, Juan Carlos",0,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Martín Ibáñez, Javier",2,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Hernández López de Munaín, Cristina",3,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Suñé, Carlos",3,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Castanys, Santiago",0,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Matesanz del Barrio, Fuencisla",2,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Alcina, Antonio",2,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"González Pacanowska, Dolores",0,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Ruiz Pérez, Luis Miguel",0,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Navarro Carretero, Miguel",0,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Estévez García, Antonio Manuel",0,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Acosta Herrera, Marialbert",2,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Vidal Romero, Antonio",0,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"López Giménez, Juan F.",-1,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Oliver Pozo, Francisco Javier",-1,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Gómez Díaz, Elena",-1,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Zubiaur, Mercedes",4,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Sánchez Luque, Francisco José",-1,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Sancho López, Jaime",4,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Berzal Herranz, Alfredo",-1,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Gómez Castilla, Jordi",-1,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Ortiz Fernández, Lourdes",2,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
"Márquez Ortiz, Ana María",2,1.2,20,0.2796399701929242,2.829926816033352,1.6797116413279891
